emp_id,status,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num,products,products[1-2],languages,languages[1-4],tools,tools[1-6]
11,Active - Regular Non-Exempt (Full-time),Pooh,Eke,11/3/1953,8 Paget Drive,Apt. A,Phoenix,33.5082,-112.1011,AZ,85015,1(480)478-0864,1(970)747-7578,,,Quality Engineer,9/14/2017,1(419)536-6933,Pooh.Eke@mountaintop.com,1,2,"general ledger",,"RDF,C#,Java",,"SQL Server,Teradata,node.js",
12,Inactive,Beverley,Laity,4/10/1970,7636 Tennessee Circle,,Clearwater,27.9654,-82.8001,FL,34629,1(727)116-7462,1(951)158-5725,,,Professor,7/11/2015,1(805)226-3652,Beverley.Laity@mountaintop.com,2,5,"general ledger",,"JavaScript,XQuery",,"Hadoop,SQL Server,Mulesoft,Linux,node.js",
13,Active - Regular Non-Exempt (Part-time),Flori,Povey,9/18/1951,149 Graceland Pass,#1,Temple,31.0363,-97.492,TX,76505,1(254)110-3718,1(303)314-5242,,,Junior Executive,4/18/2006,1(970)971-2797,Flori.Povey@mountaintop.com,5,5,"general ledger,BOM",,"JavaScript",,"Hadoop,Teradata,Linux,Kafka",
14,Active - Regular Exempt (Full-time),Adrianna,Finn,11/3/1978,4 Almo Way,#3,Little Rock,34.7269,-92.344,AR,72204,1(501)332-2809,1(914)688-6665,,,Engineering Director,3/23/2016,1(941)875-4175,Adrianna.Finn@mountaintop.com,5,2,"general ledger,logistics",,"RDF",,"Teradata,Mulesoft,Kafka,Hadoop,Linux,Windows",
15,Active - Regular Exempt (Full-time),Nehemiah,Harvett,5/31/1954,1 Carberry Lane,,Longview,32.5547,-94.7767,TX,75605,1(903)909-9411,1(405)474-9634,,,Recruiting Manager,7/31/2013,1(661)356-7254,Nehemiah.Harvett@mountaintop.com,5,3,"BOM",,"Java,SPARQL",,"SQL Server,Linux",
16,Inactive,Troy,Plester,3/5/1968,298 Blaine Court,,Newark,40.7918,-74.2452,NJ,07195,1(862)999-7930,1(432)216-2163,,,Chief Design Engineer,9/3/2014,1(203)996-6652,Troy.Plester@mountaintop.com,3,5,"general ledger",,"XQuery",,"Hadoop",
17,Inactive,Raphaela,Pitway,9/9/1980,19 Duke Place,#2,San Jose,37.3163,-121.9356,CA,95128,1(714)197-2932,1(414)415-1997,,,VP Quality Control,11/10/2009,1(850)978-5503,Raphaela.Pitway@mountaintop.com,3,4,"BOM",,"JavaScript,XSLT",,"Teradata,SQL Server,Hadoop",
18,Active - Regular Non-Exempt (Full-time),Annnora,Koppe,4/25/1952,5692 Melody Park,,Brockton,41.9705,-70.7014,MA,02305,1(508)171-9792,1(417)125-3430,,,Analyst Programmer,1/3/2013,1(920)779-9229,Annnora.Koppe@mountaintop.com,1,5,"general ledger,BOM",,"SPARQL,JavaScript",,"Mulesoft",
19,Inactive,Ardeen,Nigh,10/10/1974,658 Muir Way,,Boston,42.3615,-71.0604,MA,02203,1(617)485-4734,1(682)684-7140,,,Desktop Support Technician,10/7/2017,1(510)933-6910,Ardeen.Nigh@mountaintop.com,4,3,"BOM",,"XSLT,XQuery,C++,RDF",,"Nifi,Teradata,Windows,SQL Server",
20,Active - Regular Exempt (Full-time),Alina,Rizzardo,10/14/1961,55 Ryan Place,,Lansing,42.7286,-84.5517,MI,48919,1(517)121-3748,1(602)663-2074,,,Research Associate,12/26/2018,1(562)915-6433,Alina.Rizzardo@mountaintop.com,1,4,"logistics,CRM",,"SPARQL,RDF,C++",,"Kafka",
